cluster	system	occurrence
1273	cas_type_other	76.21
1274	hachiman_other	8.96
1274	meta	8.58
1274	hachiman_type_II	82.46
1275	meta	4.85
1275	AbiL	95.15
1276	Olokun	99.25
1277	DMS_other	97.38
1278	RM_type_II	100
1279	DRT_class_I	100
1280	meta	100
1281	meta	96.99
1281	pycsar_effector	3.01
1282	cas_type_I-A	53.38
1282	cas_type_other	46.62
1283	AbiE	100
1284	meta	98.11
1285	thoeris_type_I	6.79
1285	meta	93.21
1286	meta	85.66
1286	cas_type_I-E	6.42
1286	cas_type_I-C	4.91
1287	retron_IV	99.25
1288	AbiE	100
1289	TerY-P	88.59
1289	TerY-P_other	11.41
1290	Lamassu_other	4.56
1290	Lamassu_Family	95.44
1291	meta	98.09
1292	thoeris_type_I	99.62
1293	DMS_other	96.55
1293	meta	3.45
1294	cas_type_other	3.45
1294	cas_type_I-F1	96.55
1295	meta	100
1296	cas_type_IV-B	77.69
1296	cas_type_other	22.31
1297	PD-T4-2	24.71
1297	RM_type_II	6.18
1297	meta	27.03
1297	Menshen_other	3.86
1297	Menshen	38.22
1298	GAO_19	98.84
1299	AVAST_type_I_other	8.49
1299	AVAST_type_I	91.12
1300	cas_type_I-E	77.13
1300	cas_type_other	22.87
1301	DMS_other	59.69
1301	meta	39.53
1302	RM_type_IIG	98.45
1303	argonaute_solo	54.26
1303	argonaute_type_II	43.8
1304	cas_type_V-K	8.17
1304	meta	89.88
1305	zorya_other	13.23
1305	zorya_type_I	86.77
1306	meta	3.89
1306	cas_type_VI	96.11
1307	meta	3.5
1307	viperin_toxin	7.78
1307	viperin_solo	88.72
1308	cas_type_III-A	3.11
1308	cas_type_other	29.18
1308	meta	7
1308	cas_type_I-A	43.97
1308	cas_adaptation	11.28
1308	cas_type_III-B	3.89
1309	zorya_other	8.59
1309	zorya_type_I	91.02
1310	cas_type_III-A	47.06
1310	cas_type_other	9.8
1310	meta	3.53
1310	cas_adaptation	24.31
1310	cas_type_III-D	3.92
1310	cas_type_III-B	11.37
1311	Lamassu_other	6.27
1311	Lamassu_Family	93.73
1312	RexAB	99.22
1313	brex_type_I	46.67
1313	DMS_other	25.88
1313	brex_type_VI	27.45
1314	PifA	98.43
1315	ISG15-like_other	100
1316	meta	99.21
1317	septu_type_I	100
1318	RM_type_II	100
1319	HEC-03	98.81
1320	septu_type_I	96.03
1321	cas_type_III-B	23.41
1321	cas_type_III-A	14.68
1321	cas_type_other	25
1321	cas_adaptation	28.57
1321	cas_type_III-D	7.54
1322	DMS_other	19.84
1322	meta	7.14
1322	RM_type_IIG	72.22
1323	RM_type_II	100
1324	thoeris_type_I	6.37
1324	meta	93.63
1325	RM_type_II	98.8
1326	meta	3.59
1326	HEC-04	96.41
1327	DMS_other	86
1327	meta	9.6
1327	PT_DndABCDE	4.4
1328	cas_type_III-A	29.2
1328	cas_type_other	23.2
1328	cas_type_III-D	40.4
1328	cas_type_III-B	4.4
1329	AbiU	98.4
1330	RM_type_II	95.6
1330	DMS_other	3.2
1331	Dynamins	98.39
1332	septu_type_I	99.6
1333	RM_type_I	79.03
1333	meta	11.29
1333	DMS_other	9.68
1334	cas_type_III-C	97.58
1335	wadjet_other	82.19
1335	wadjet_type_I	17.81
1336	retron_II-A	99.6
1337	RM_type_I	95.55
1337	DMS_other	4.45
1338	meta	5.26
1338	wadjet_other	94.74
1339	RM_type_II	93.12
1339	DMS_other	6.48
1340	DMS_other	39.02
1340	meta	56.1
1340	DRT_other	4.07
1341	meta	13.82
1341	DRT_class_I	4.88
1341	DRT_class_II	78.86
1342	ShosTA	100
1343	cas_type_III-A	7.35
1343	cas_type_other	16.33
1343	cas_type_I-B1	72.65
1344	cas_type_other	15.1
1344	cas_type_I-D	4.08
1344	meta	8.16
1344	cas_type_I-A	38.78
1344	cas_type_I-B1	18.78
1344	cas_adaptation	9.39
1345	meta	4.08
1345	septu_type_I	95.92
1346	DMS_other	9.84
1346	meta	90.16
1347	cas_type_I-B1	91.39
1347	cas_type_other	8.61
1348	meta	99.18
1349	cas_type_III-C	96.3
1349	cas_type_other	3.7
1350	druantia_other	100
1351	meta	100
1352	cas_type_I-A	60.74
1352	cas_type_other	38.43
1353	cas_type_III-A	93.39
1353	cas_type_other	6.61
1354	meta	7.85
1354	Dynamins	92.15
1355	meta	100
1356	Olokun	98.76
1357	DMS_other	17.01
1357	GAO_29	82.99
1358	meta	36.1
1358	PsyrTA	5.81
1358	ShosTA	58.09
1359	cas_type_III-D	40.25
1359	cas_type_other	59.75
1360	meta	5.39
1360	septu_type_I	94.61
1361	RM_type_II	100
1362	meta	100
1363	RM_type_II	100
1364	meta	3.75
1364	Paris	96.25
1365	DRT_class_II	98.75
1366	meta	4.6
1366	dsr1	94.56
1367	PD-T4-6	100
1368	wadjet_other	97.07
1369	qatABCD	88.28
1369	qatABCD_other	11.72
1370	cbass_type_I	78.66
1370	cbass_type_IIs	15.06
1371	RM_type_II	95.4
1371	DMS_other	4.18
1372	meta	100
1373	RM_type_II	33.19
1373	DMS_other	26.89
1373	meta	39.92
1374	cas_type_other	28.57
1374	cas_type_I-B1	53.78
1374	cas_type_III-B	9.24
1375	cas_type_II-B	98.31
1376	PD-Lambda-5	99.58
1377	meta	100
1378	Shango	100
1379	septu_type_I	98.31
1380	PT_SspFGH	60.17
1380	DMS_other	39.41
1381	RM_type_II	47.23
1381	DMS_other	33.62
1381	meta	19.15
1382	meta	97.02
1383	cbass_type_II	80
1383	cbass_type_IIs	9.36
1383	cbass_type_III	6.81
1384	meta	100
1385	cbass_type_II	12.39
1385	cbass_type_I	86.32
1386	DMS_other	8.55
1386	Tiamat	88.03
1387	RM_type_II	100
1388	meta	97.42
1389	Mokosh_TypeI	100
1390	DMS_other	10.73
1390	meta	86.7
1391	DMS_other	57.94
1391	disarm_type_II	39.91
1392	meta	98.28
1393	cbass_other	8.62
1393	cbass_type_II	83.19
1393	meta	5.6
1394	RM_type_II	100
1395	meta	99.13
1396	meta	93.07
1396	retron_V	6.06
1397	RosmerTA	99.57
1398	cas_type_IV-A	77.06
1398	cas_type_other	22.51
1399	RosmerTA	99.13
1400	meta	100
1401	cas_type_III-D	36.96
1401	cas_type_other	63.04
1402	cas_type_other	30.43
1402	cas_type_III-B	69.13
1403	brex_type_I	53.91
1403	DMS_other	42.61
1404	Dpd	95.63
1404	meta	4.37
1405	AbiU	99.56
1406	cas_type_other	26.64
1406	cas_type_III-D	73.36
1407	meta	100
1408	PD-T7-4	100
1409	meta	4.82
1409	dsr2	95.18
1410	shedu	99.12
1411	RM_type_I	76.32
1411	DMS_other	23.68
1412	meta	7.02
1412	septu_type_I	92.11
1413	cas_type_I-B1	99.12
1414	AbiL	100
1415	cas_type_III-A	95.61
1415	cas_type_other	3.51
1416	HEC-05	51.54
1416	meta	35.24
1416	Menshen_other	13.22
1417	hachiman_other	7.93
1417	DMS_other	18.5
1417	meta	9.25
1417	hachiman_type_I	64.32
1418	meta	99.12
1419	meta	84.07
1419	Lamassu_Family	14.16
1420	septu_type_I	98.67
1421	cbass_type_IIs	7.96
1421	cbass_type_I	89.38
1422	RM_type_IIG	100
1423	kiwa	97.79
1424	cas_type_III-B	84.51
1424	cas_type_other	15.49
1425	meta	36.73
1425	Paris	63.27
1426	DMS_other	62.67
1426	meta	37.33
1427	DRT_other	4.44
1427	meta	90.22
1427	DMS_other	4.44
1428	cas_type_I-D	13.33
1428	meta	36.89
1428	cas_type_I-E	5.33
1428	cas_type_I-C	16
1428	cas_type_I-B1	22.22
1429	RM_type_I	3.56
1429	DMS_other	96
1430	septu_type_I	97.78
1431	cas_type_other	4.89
1431	cas_type_III-D	93.33
1432	zorya_other	100
1433	HEC-02	100
1434	cbass_other	9.82
1434	meta	3.57
1434	cbass_type_II	86.61
1435	meta	19.73
1435	druantia_other	71.3
1435	druantia_type_I	7.17
1436	cas_type_I-A	51.57
1436	cas_type_other	48.43
1437	cbass_other	96.86
1437	meta	3.14
1438	RM_type_II	100
1439	cas_type_I-B1	87
1439	meta	10.31
1440	cas_type_I-B1	91.44
1440	meta	3.6
1440	cas_type_other	4.95
1441	RM_type_IIG	99.1
1442	wadjet_type_III	53.6
1442	wadjet_other	46.4
1443	Lamassu_other	9.91
1443	Lamassu_Family	90.09
1444	DMS_other	8.14
1444	meta	89.14
1445	DMS_other	77.38
1445	meta	22.62
1446	meta	3.62
1446	cas_type_other	5.88
1446	cas_type_III-D	90.5
1447	ietAS	99.55
1448	Uzume	100
1449	SEFIR	100
1450	hachiman_type_I	96.36
1451	cas_type_other	13.64
1451	cas_type_II-A	85.91
1452	meta	100
1453	meta	32.88
1453	Paris	67.12
1454	Mokosh_TypeI	99.54
1455	meta	98.17
1456	Lamassu_Family	97.25
1457	meta	100
1458	cas_type_I-D	98.16
1459	cas_type_other	57.14
1459	meta	3.69
1459	cas_type_III-D	36.87
1460	cbass_type_II	8.29
1460	cbass_type_I	88.94
1461	RM_type_I	83.33
1461	DMS_other	16.67
1462	shedu	100
1463	meta	6.94
1463	Paris	93.06
1464	cas_type_I-E	90.74
1464	cas_type_other	9.26
1465	cbass_type_III	97.69
1466	hachiman_type_I	99.53
1467	meta	20.93
1467	ShosTA	79.07
1468	Mokosh_TypeII	91.63
1468	meta	8.37
1469	brex_type_I	52.09
1469	DMS_other	47.91
1470	cas_type_I-F1	96.74
1470	cas_type_other	3.26
1471	Dynamins	99.53
1472	thoeris_type_I	7.94
1472	meta	90.19
1473	Lamassu_other	8.88
1473	Lamassu_Family	91.12
1474	AbiU	99.07
1475	Dpd	87.85
1475	meta	6.54
1475	DMS_other	5.61
1476	meta	100
1477	thoeris_type_I	10.33
1477	meta	13.62
1477	thoeris_type_II	73.24
1478	meta	3.3
1478	Azaca	96.7
1479	cas_type_III-D	22.64
1479	cas_type_other	75.94
1480	cas_type_other	13.21
1480	cas_type_V	86.32
1481	cas_type_other	11.32
1481	cas_type_IV-A	88.21
1482	wadjet_other	98.58
1483	SoFic	100
1484	DMS_other	6.16
1484	meta	93.84
1485	mza_other	29.86
1485	mza	70.14
1486	DMS_other	3.81
1486	PT_DndABCDE	96.19
1487	DRT_class_III	98.1
1488	cas_type_other	25.71
1488	cas_type_III-B	74.29
1489	RM_type_II	40.48
1489	DMS_other	40
1489	meta	18.57
1490	Lamassu_other	7.62
1490	Lamassu_Family	91.43
1491	meta	81.82
1491	HEC-01	11.48
1491	septu_other	5.74
1492	PD-Lambda-4	51.67
1492	meta	48.33
1493	septu_type_I	99.52
1494	cbass_type_I	18.18
1494	cbass_type_II	81.34
1495	AbiL	99.52
1496	RosmerTA	100
1497	cas_adaptation	13.46
1497	cas_type_V	70.67
1497	cas_type_other	14.9
1498	cas_type_III-B	45.19
1498	cas_type_III-A	24.04
1498	cas_type_other	15.38
1498	meta	4.81
1498	cas_type_III-D	10.58
1499	DMS_other	80.19
1499	meta	19.81
1500	meta	14.98
1500	RADAR	85.02
1501	DMS_other	84.06
1501	meta	15.94
1502	DRT_other	17.39
1502	retron_III-A	13.04
1502	retron_II-A	5.31
1502	retron_VII-A1	4.83
1502	retron_VII-A2	31.4
1502	retron_IX	11.59
1502	retron_VIII	14.01
1503	meta	5.8
1503	cas_adaptation	3.86
1503	cas_type_III-B	89.86
1504	cas_type_I-A	85.99
1504	meta	12.08
1505	ShosTA	100
1506	hachiman_type_I	99.51
1507	septu_type_I	31.71
1507	meta	6.83
1507	retron_I-A	60.49
1508	meta	99.02
1509	meta	96.06
1510	cas_type_III-A	4.93
1510	meta	89.66
1510	cas_type_other	4.43
1511	meta	100
1512	meta	100
1513	argonaute_solo	4.95
1513	argonaute_type_II	94.06
1514	argonaute_type_III	73.27
1514	meta	25.74
1515	brex_type_I	80.2
1515	DMS_other	18.32
1516	cas_type_other	8.46
1516	meta	44.28
1516	cas_type_I-E	30.85
1516	cas_type_I-C	9.45
1517	RM_type_II	96.02
1518	cas_type_III-D	75.62
1518	cas_type_other	24.38
1519	cas_type_other	5.47
1519	cas_type_II-B	81.59
1519	cas_adaptation	6.97
1520	RosmerTA	100
1521	PT_SspABCD	9
1521	DMS_other	15
1521	meta	76
1522	meta	4.5
1522	ShosTA	95.5
1523	Mokosh_TypeI	100
1524	Tiamat	100
1525	PsyrTA	95
1526	RosmerTA	100
1527	Lamassu_Family	98
1528	cas_type_other	8.5
1528	cas_type_IV-A	91.5
1529	Lamassu_other	6
1529	Lamassu_Family	94
1530	DMS_other	21.11
1530	meta	78.39
1531	retron_III-A	97.99
1532	meta	3.52
1532	AbiE	96.48
1533	AbiL	100
1534	RosmerTA	100
1535	meta	94.95
1535	cas_type_other	5.05
1536	meta	100
1537	DMS_other	6.57
1537	meta	92.42
1538	kiwa	98.48
1539	septu_type_I	100
1540	cas_type_I-B1	98.48
1541	cas_type_other	6.6
1541	meta	18.27
1541	cas_type_I-B1	64.97
1541	cas_type_III-D	9.14
1542	meta	94.9
1542	DRT_other	3.06
1543	cbass_type_II	27.55
1543	cbass_type_I	4.08
1543	meta	46.43
1543	cbass_type_IIs	20.41
1544	kiwa	100
1545	pycsar_effector	97.96
1546	gabija	100
1547	cas_type_I-B1	49.49
1547	meta	46.43
1547	cas_type_other	3.06
1548	meta	69.23
1548	Lamassu_Family	29.74
1549	meta	87.69
1549	cas_type_other	8.21
1549	cas_type_V	4.1
1550	meta	98.97
1551	cas_type_I-F1	100
1552	Menshen	96.92
1553	Lamassu_other	7.18
1553	Lamassu_Family	92.82
1554	Menshen	90.21
1554	Menshen_other	9.28
1555	pycsar_effector	97.94
1556	meta	98.96
1557	meta	98.45
1558	darTG	81.87
1558	meta	18.13
1559	Lamassu_Family	100
1560	druantia_other	10.88
1560	druantia_type_I	89.12
1561	meta	100
1562	wadjet_type_I	97.4
1563	PD-T4-2	99.48
1564	cas_type_I-E	95.83
1564	cas_type_other	4.17
1565	cas_type_III-A	26.56
1565	cas_type_other	18.23
1565	cas_adaptation	26.04
1565	cas_type_III-D	7.29
1565	cas_type_III-B	17.71
1566	meta	9.38
1566	cbass_type_II	87.5
1567	meta	100
1568	Paris	97.91
1569	thoeris_type_I	88.95
1569	meta	11.05
1570	hachiman_type_I	97.37
1571	DMS_other	55.26
1571	PT_DndABCDE	43.16
1572	cas_adaptation	14.74
1572	cas_type_other	3.16
1572	cas_type_III-B	79.47
1573	cas_type_other	58.95
1573	cas_type_III-D	40
1574	cas_type_I-B1	94.74
1574	cas_type_other	3.16
1575	meta	96.83
1576	hachiman_other	14.81
1576	meta	12.7
1576	hachiman_type_II	72.49
1577	Juk	99.47
1578	meta	100
1579	meta	100
1580	druantia_type_III	100
1581	zorya_other	100
1582	cas_type_other	6.38
1582	cas_type_III-B	92.55
1583	cas_type_other	24.47
1583	cas_type_III-B	75
1584	meta	100
1585	meta	96.79
1586	zorya_other	6.42
1586	meta	93.58
1587	kiwa	97.86
1588	AbiE	99.47
1589	DMS_other	18.28
1589	meta	80.11
1590	druantia_type_IV	54.84
1590	druantia_other	44.09
1591	septu_type_I	97.31
1592	argonaute_type_II	99.46
1593	RM_type_II	89.78
1593	meta	9.14
1594	Lamassu_Family	98.92
1595	Dpd	88.65
1595	meta	10.81
1596	DMS_other	55.43
1596	disarm_type_I	39.67
1597	meta	100
1598	wadjet_type_I	97.83
1599	RosmerTA	100
1600	meta	98.91
1601	meta	100
1602	cas_type_other	3.83
1602	cas_type_III-B	95.63
1603	thoeris_type_I	92.9
1603	meta	7.1
1604	meta	78.02
1604	cas_type_I-B2	14.29
1605	RM_type_II	100
1606	kiwa	97.24
1607	meta	70.56
1607	PD-T4-6	29.44
1608	retron_III-A	97.78
1609	HEC-09	96.09
1609	meta	3.91
1610	argonaute_type_III	77.65
1610	argonaute_solo	21.23
1611	DRT_other	9.55
1611	meta	89.33
1612	RM_type_II	4.49
1612	meta	69.1
1612	retron_VI	20.22
1612	DMS_other	5.62
1613	meta	95.51
1613	cas_type_other	4.49
1614	meta	100
1615	thoeris_type_I	22.47
1615	meta	77.53
1616	PD-Lambda-5	98.88
1617	meta	4.49
1617	cas_type_other	95.51
1618	Shango	100
1619	meta	74.01
1619	Lamassu_Family	25.99
1620	meta	100
1621	meta	94.92
1621	cas_type_other	5.08
1622	cas_type_other	12.43
1622	cas_type_III-D	87.57
1623	cas_type_I-A	79.66
1623	cas_type_other	19.21
1624	cas_type_IV-A	87.01
1624	cas_type_other	12.99
1625	meta	54.55
1625	AbiT	45.45
1626	meta	5.11
1626	PifA	94.89
1627	Tiamat	100
1628	cas_type_IV-A	84.66
1628	cas_type_other	15.34
1629	meta	100
1630	meta	100
1631	meta	98.29
1632	cas_type_I-D	69.71
1632	meta	26.29
1632	cas_type_other	4
1633	cas_type_III-A	34.29
1633	meta	6.86
1633	cas_type_other	12.57
1633	cas_type_III-D	46.29
1634	RexAB	100
1635	Lamassu_other	19.43
1635	Lamassu_Family	80.57
1636	cas_type_III-B	4.6
1636	cas_type_other	17.24
1636	meta	56.9
1636	cas_adaptation	9.2
1636	cas_type_III-D	9.2
1637	meta	100
1638	DMS_other	37.93
1638	meta	60.92
1639	RM_type_II	96.55
1639	meta	3.45
1640	hachiman_type_II	6.9
1640	hachiman_type_I	93.1
1641	Dynamins	97.7
1642	cbass_other	4.6
1642	meta	3.45
1642	cbass_type_IV	89.66
1643	RM_type_II	100
1644	meta	100
1645	meta	100
1646	cas_type_other	88.37
1646	cas_type_III-D	11.05
1647	RM_type_II	98.84
1648	cbass_type_I	81.98
1648	cbass_other	12.79
1649	cas_type_I-B1	97.08
1650	meta	3.51
1650	septu_type_I	96.49
1651	Aditi	98.83
1652	RM_type_II	99.42
1653	druantia_type_IV	98.24
1654	cas_type_other	12.94
1654	cas_type_II-A	87.06
1655	RM_type_II	97.65
1656	DMS_other	87.06
1656	disarm_type_II	10.59
1657	meta	100
1658	druantia_type_II	86.39
1658	druantia_other	13.61
1659	Lamassu_other	8.88
1659	Lamassu_Family	91.12
1660	Mokosh_TypeI	98.82
1661	zorya_other	4.73
1661	zorya_type_I	95.27
1662	zorya_other	23.81
1662	meta	73.21
1663	DMS_other	77.98
1663	meta	22.02
1664	ShosTA	100
1665	cas_type_other	16.07
1665	meta	58.93
1665	cas_adaptation	3.57
1665	cas_type_III-D	14.29
1665	cas_type_III-B	5.95
1666	RM_type_II	97.62
1667	meta	13.17
1667	PD-Lambda-3	86.83
1668	meta	11.98
1668	Dynamins	88.02
1669	RM_type_II	14.97
1669	DMS_other	37.13
1669	meta	47.9
1670	Olokun	99.4
1671	meta	19.28
1671	AbiE	80.72
1672	hachiman_type_II	7.23
1672	hachiman_type_I	90.36
1673	cas_type_I-E	97.59
1674	DMS_other	4.82
1674	brex_type_IV	95.18
1675	cas_type_III-A	25.9
1675	cas_type_III-D	66.87
1676	Menshen	96.99
1677	RosmerTA	99.4
1678	RM_type_II	6.67
1678	meta	79.39
1678	PD-Lambda-5	3.03
1678	DMS_other	9.7
1679	DMS_other	4.24
1679	meta	95.76
1680	cbass_other	3.64
1680	meta	9.09
1680	cbass_type_IV	87.27
1681	meta	97.58
1682	pycsar_effector	100
1683	RM_type_I	87.88
1683	DMS_other	11.52
1684	HEC-02	100
1685	meta	9.09
1685	cbass_type_IIs	90.91
1686	Lamassu_other	23.17
1686	Lamassu_Family	76.83
1687	qatABCD	95.12
1687	qatABCD_other	4.88
1688	DMS_other	14.02
1688	RM_type_III	85.37
1689	meta	6.1
1689	Dynamins	93.9
1690	RM_type_II	27.61
1690	meta	57.06
1690	DMS_other	14.11
1691	pycsar_effector	100
1692	druantia_type_II	90.8
1692	druantia_other	8.59
1693	cas_type_other	4.91
1693	cas_type_IV-A	93.25
1694	RM_type_II	31.9
1694	DRT_other	8.59
1694	meta	23.93
1694	DMS_other	35.58
1695	DMS_other	92.59
1695	meta	7.41
1696	cas_type_III-A	13.58
1696	cas_type_I-G	6.79
1696	cas_type_other	10.49
1696	cas_type_I-C	46.3
1696	cas_adaptation	11.73
1696	cas_type_III-D	7.41
1697	septu_type_I	100
1698	Lamassu_other	19.75
1698	meta	48.15
1698	Lamassu_Family	32.1
1699	argonaute_type_III	91.36
1699	meta	4.94
1699	argonaute_other	3.7
1700	Tiamat	100
1701	meta	100
1702	cas_type_I-E	97.52
1703	Helicase-DUF2290	99.38
1704	RM_type_II	96.89
1705	meta	8.12
1705	septu_type_I	91.88
1706	RM_type_II	100
1707	RosmerTA	100
1708	Lamassu_Family	99.38
1709	RM_type_II	98.75
1710	RM_type_II	33.12
1710	DMS_other	58.13
1710	meta	8.75
1711	DMS_other	10
1711	brex_type_IV	90
1712	DMS_other	87.5
1712	meta	12.5
1713	PD-Lambda-1	100
1714	DMS_other	70.44
1714	meta	28.3
1715	RM_type_II	83.65
1715	DMS_other	15.09
1716	HEC-02	100
1717	zorya_other	100
1718	Lamassu_other	3.77
1718	Lamassu_Family	96.23
1719	DMS_other	78.62
1719	meta	11.95
1719	brex_type_III	5.03
1720	meta	15.19
1720	VSPR	84.81
1721	cas_type_I-C	5.06
1721	meta	90.51
1722	RM_type_II	5.06
1722	DMS_other	12.03
1722	meta	75.32
1722	DRT_other	7.59
1723	RosmerTA	100
1724	DMS_other	23.57
1724	meta	76.43
1725	meta	100
1726	meta	100
1727	meta	100
1728	meta	12.1
1728	septu_type_I	86.62
1729	RM_type_II	96.82
1729	meta	3.18
1730	cas_type_I-D	5.1
1730	meta	8.92
1730	cas_type_I-A	82.8
1731	brex_type_V	55.41
1731	DMS_other	44.59
1732	brex_type_V	59.87
1732	DMS_other	40.13
1733	meta	100
1734	PD-T4-6	100
1735	Dynamins	99.36
1736	hhe	98.72
1737	brex_type_I	76.92
1737	DMS_other	23.08
1738	RM_type_II	98.06
1739	meta	5.81
1739	septu_type_I	94.19
1740	RM_type_II	97.42
1741	meta	51.95
1741	Dynamins	48.05
1742	meta	98.7
1743	Borvo	100
1744	RM_type_II	98.05
1745	septu_type_I	97.4
1746	Dpd	10.39
1746	DMS_other	71.43
1746	meta	18.18
1747	PD-T4-9	97.4
1748	RM_type_II	94.81
1749	argonaute_type_II	99.35
1750	cas_type_III-A	96.1
1750	cas_type_other	3.9
1751	Mokosh_TypeII	33.99
1751	meta	64.71
1752	meta	90.85
1752	cas_type_V	6.54
1753	meta	97.39
1754	DRT_other	5.23
1754	meta	94.77
1755	ISG15-like_other	3.92
1755	ISG15-like	96.08
1756	wadjet_type_II	85.62
1756	wadjet_other	14.38
1757	meta	53.64
1757	septu_type_I	45.03
1758	DRT_other	9.93
1758	retron_XIII	89.4
1759	AVAST_type_II	100
1760	cas_type_I-B1	96.69
1760	cas_type_other	3.31
1761	RM_type_II	100
1762	brex_type_V	59.6
1762	DMS_other	40.4
1763	cas_type_II-A	98.68
1764	meta	99.33
1765	PD-T4-9	98.67
1766	cas_type_III-A	29.33
1766	meta	5.33
1766	cas_type_III-D	62.67
1767	cas_type_III-A	93.33
1767	cas_type_other	6.67
1768	cas_type_III-A	33.33
1768	cas_type_I-G	6.67
1768	cas_type_other	9.33
1768	meta	5.33
1768	cas_type_I-B1	5.33
1768	cas_adaptation	28
1768	cas_type_III-B	6.67
1769	AbiU	97.33
1770	Mokosh_TypeI	90.67
1770	meta	9.33
1771	meta	100
1772	meta	100
1773	meta	87.92
1773	HEC-01	10.74
1774	druantia_type_II	90.6
1774	druantia_other	9.4
1775	argonaute_type_III	98.66
1776	thoeris_type_I	81.21
1776	meta	18.79
1777	DMS_other	36.24
1777	meta	63.76
1778	meta	99.32
1779	meta	98.65
1780	pycsar_effector	74.32
1780	pycsar_other	24.32
1781	PD-Lambda-5	100
1782	DMS_other	98.65
1783	cas_type_I-B1	100
1784	meta	100
1785	meta	96.6
1785	cas_type_other	3.4
1786	meta	6.12
1786	AbiE	93.88
1787	meta	40.82
1787	Bunzi	59.18
1788	meta	100
1789	Tiamat	100
1790	meta	4.11
1790	kiwa	95.89
1791	meta	16.44
1791	pycsar_effector	80.82
1792	RM_type_I	77.4
1792	DMS_other	22.6
1793	meta	27.4
1793	VSPR	72.6
1794	meta	95.86
1795	DMS_other	89.66
1795	meta	7.59
1796	DMS_other	4.83
1796	meta	95.17
1797	PD-T4-6	100
1798	DMS_other	100
1799	AbiG	100
1800	thoeris_type_I	65.97
1800	meta	5.56
1800	thoeris_other	25.69
1801	Lamassu_Family	100
1802	cas_type_other	75
1802	meta	21.53
1803	AbiE	98.61
1804	AbiE	100
1805	meta	98.6
1806	PD-T4-10	79.72
1806	meta	20.28
1807	Azaca	98.6
1808	DMS_other	92.31
1808	meta	7.69
1809	Lamassu_Family	97.2
1810	RM_type_II	97.2
1811	cbass_type_I	83.92
1811	meta	6.29
1811	cbass_type_III	4.2
1811	cbass_type_II	5.59
1812	PD-T4-6	100
1813	meta	93.01
1813	gabija	5.59
1814	DMS_other	5.63
1814	meta	94.37
1815	meta	4.93
1815	PD-T4-6	95.07
1816	meta	100
1817	RM_type_I	94.37
1817	DMS_other	5.63
1818	meta	14.79
1818	cas_type_III-D	9.86
1818	cas_type_III-H	25.35
1818	cas_type_other	50
1819	Dynamins	100
1820	cas_type_other	100
1821	cas_type_III-D	9.86
1821	cas_type_other	90.14
1822	cas_type_other	23.24
1822	cas_type_III-D	76.76
1823	DMS_other	97.89
1824	cas_type_I-B1	94.37
1824	cas_type_other	5.63
1825	DMS_other	97.18
1826	meta	7.04
1826	cas_type_VI	92.96
1827	wadjet_type_II	78.87
1827	wadjet_other	21.13
1828	meta	7.8
1828	DRT_class_II	90.78
1829	RM_type_II	17.02
1829	DMS_other	30.5
1829	meta	49.65
1830	wadjet_type_II	73.76
1830	wadjet_other	26.24
1831	AbiL	100
1832	brex_type_I	88.65
1832	DMS_other	11.35
1833	argonaute_type_II	98.57
1834	septu_type_I	100
1835	DRT_other	4.29
1835	retron_III-A	95.71
1836	meta	80
1836	Dynamins	20
1837	Lamassu_Family	97.14
1838	meta	14.29
1838	Dynamins	85.71
1839	brex_type_V	55.71
1839	DMS_other	44.29
1840	cas_type_other	98.57
1841	RosmerTA	100
1842	RM_type_II	99.28
1843	zorya_other	100
1844	DRT_other	33.09
1844	meta	7.19
1844	DRT_class_II	59.71
1845	meta	28.78
1845	cas_type_I-B1	63.31
1845	cas_type_III-D	3.6
1846	cbass_other	6.52
1846	meta	84.06
1846	cbass_type_II	9.42
1847	meta	100
1848	zorya_other	52.9
1848	meta	6.52
1848	Tiamat	40.58
1849	Mokosh_TypeII	76.81
1849	meta	23.19
1850	meta	5.07
1850	AbiE	94.93
1851	Stk2	100
1852	cas_type_I-E	94.2
1852	cas_type_other	5.8
1853	PD-T4-6	100
1854	meta	3.65
1854	pycsar_effector	96.35
1855	meta	8.03
1855	RosmerTA	91.97
1856	Dazbog	97.81
1857	Paris	99.27
1858	cas_type_III-B	30.66
1858	cas_type_III-A	21.17
1858	cas_type_other	16.79
1858	meta	12.41
1858	cas_adaptation	4.38
1858	cas_type_III-D	13.14
1859	meta	37.5
1859	AbiL	62.5
1860	Mokosh_TypeI	86.76
1860	meta	13.24
1861	meta	100
1862	Dazbog	100
1863	zorya_type_III	97.06
1864	AbiJ	100
1865	cbass_type_II	5.88
1865	cbass_type_I	94.12
1866	RM_type_II	100
1867	meta	83.7
1867	cas_type_other	13.33
1868	DRT_class_I	100
1869	meta	97.01
1870	cas_type_III-C	90.3
1870	cas_type_other	8.21
1871	meta	98.51
1872	PD-Lambda-5	100
1873	DRT_class_II	100
1874	gabija	100
1875	PD-T4-5	100
1876	cas_type_I-G	94.03
1876	cas_type_other	5.97
1877	Aditi	100
1878	meta	87.97
1878	argonaute_other	12.03
1879	RM_type_II	100
1880	meta	100
1881	pycsar_effector	74.24
1881	pycsar_unknown	25.76
1882	RosmerTA	100
1883	cbass_type_I	100
1884	meta	4.55
1884	pycsar_effector	95.45
1885	Lamassu_Family	98.48
